Hotel Name,Date,Person's Name,Review
Radisson Blu Kochi,Apr-21,ranjith balakrishnan,Clean and Hygienic Rooms ... excellent support by F&B Team.... Especially the service and care provided by Shebin from F& B Team ...👍
Radisson Blu Kochi,Jan-21,Vaishak Viswanathan,"Nice ambience and great service from Mr.Sreerag.The hotel fully taken the safety measures during this pandemic...very comfortable stay.All the staff were taking effort to maintain cleanliness and sanitization process. Service is excellent, …"
Radisson Blu Kochi,Apr-21,Pratyusha,Thank you so much for your outstanding service and precautions
Radisson Blu Kochi,Mar-21,Arabind,We had recently organised a corporate event and we could organise it very well .The place is centrally located and ideal for all kinds of events including social events and safety norms
Kochi Marriott Hotel,Dec-20,DrNisha Pranoy,"… safety measures and social distancing norms.But the arrangements provided there was even incomparable with any of the other hotels or public services.Cuisine was heaven ,Doubtless👌🏻.They made sure we were comfortable ,from service boy at dining table to the Chef as …"
Kochi Marriott Hotel,Mar-21,Indrajith,"Only concern regarding the stay during the pandemic is safety, cleanliness and hygiene especially if your traveling with a kid. Here at Marriott everything was exceptional."
Kochi Marriott Hotel,November 0202,Sajiv Sankar,Follows good safety guideline. I had some connectivity issue on my mobile. The team took some extra effort to solve that
Kochi Marriott Hotel,Apr-21,SUBRAMONI,… spread of bf and dinner. check in and check out desk to improve.. they seems lost or confused with all guests.. rest .. great..
Kochi Marriott Hotel,Jun-21,Rizma,"safety, hygenine, wide variety of food, comfy bed.. a perfect place for family , business or solo traveller"
Grand Hyatt Kochi Bolgatty,Jun-21,Gautham Bajaj,"The stay, room and the food was overall a great experience.Guests were not allowed to my room I know it is due to the COVID-19 protocol but on the same day guests were allowed to other rooms with their details entered.The restrictions …"
Grand Hyatt Kochi Bolgatty,Apr-21,Kamakhya Singh,"I stayed in 5 hotels in last 2 months and I must say that this is by far the best in this Covid Era. Never felt scared while inside property as far as hygiene is concerned. Good food and great service …
"
Grand Hyatt Kochi Bolgatty,Jun-21,Abhinandan,Like the Malabar restaurant here. The rooms are very good. They have a Villa with separate route to reach you till the villa.
Grand Hyatt Kochi Bolgatty,Mar-21,Kamakhya Singh,"Amazing, sensational and safe.
I stayed in 5 hotels in last 2 months and I must say that this is by far the best in this Covid Era."
Grand Hyatt Kochi Bolgatty,Apr-21,Dinu Raj,"Had a wonderful experience at the Grand Hyatt bolgatty. Spacious and comfortable rooms, Wonderful property beside the backwaters. Every staff member I encountered, from the valet to the check- in to the cleaning staff were delightful and eager to help! The food was great too. Would definitely recommend."
Courtyard by Marriott Kochi Airport,Jun-21,Syed Ahmed,Excellent location for the Cochin International Airport. Pick up & drop off by the hotel car was very prompt. Staff all very polite and friendly. Due to the pandemic all dining was in-room only. Food was average and the variety of desserts …
Courtyard by Marriott Kochi Airport,May-21,Medini Sourav Dutta,Very clean and hygienic room. Well maintained property. Extremely supportive staff.
Courtyard by Marriott Kochi Airport,May-21,Vipin,The rooms were good and proper Covid protocols were practiced at the hotel. However the customer service at the breakfast was not up to the standard expected from Marriott. …
Courtyard by Marriott Kochi Airport,May-21,Sarath Raj,Very Good Ambiance. Good Hospitality. Well maintained rooms.
Courtyard by Marriott Kochi Airport,Mar-20,Vijayan K,I had an excellent experience over here. Great ambience to stay and happy to see how they are following the covid protocols which make us feel safe. A special thanks to Mr.Basil Ghevarghese for his good attitude and hospitality provided by …
Four Points By Sheraton Kochi InfoPark,Jan-21,Nisha Shetty,"From check in & till our 4 days stay , everything just above our expectations....the very first impression they were following all safety protocols, next rooms were good lighted, decor ws good, well maintained."
Four Points By Sheraton Kochi InfoPark,Mar-21,suraj varughese,Very relaxing and clean place. Staff extremely polite and helpful. Strictly following covid protocols. The buffet was nice. But my only compliant is the air conditioning even it max it doesn't feel cool. For that reason am taking a star on the off
Four Points By Sheraton Kochi InfoPark,Apr-21,Shone Pradeep,Was staying for 3 nights in Four point Sheraton. The stay here is excellent. The hospitality of the staffs are highly appreciated. Only suggestion from our end is that if you guys could improve on the complementary breakfast and the foods. …
Four Points By Sheraton Kochi InfoPark,Jun-21,Ann Sebastian,"Thank you so much ....it was a wonderful experience, and the staff was so good enough. Their way of handling customers was great."
Hilton Garden Inn Trivandrum,,,
Hilton Garden Inn Trivandrum,Feb-21,Aswathy Krishnan,Went for dinner here and the food was great.
Hilton Garden Inn Trivandrum,Mar-21,Umesh Tyagi,"I was little worried to travel during Covid-19 time. After searching and reviewing several properties I chose Hilton Garden Inn. When, I reached there, I received warm welcome. My room was ready. Food is excellent. I remember name of Adarsh …"
Hilton Garden Inn Trivandrum,Jun-21,raj v,"Nice Ambience,Access to the city is easy.As it is situated in the center of the city.Good House keeping and room service.As it belong to the Hilton Group Service charges are also of that standard. One advantage is if you want to order food …"
Hilton Garden Inn Trivandrum,Mar-21,Nicholas Fahrney,The hotel rooms and amenities are typical Hilton Garden Inn but the service and food are elevated to another level! The service and food at this hotel are that of full service Hilton or Curio Collection or even do I dare say a Waldorf!
Le Meridien Kochi,May-21,Bineesh Biju,"Le Meridien is on the heart of Ernakulam, 5 star hotel in Ernakulam, Having Restaurant, Bar, Rooms, Convention Centre, Party Hall, and having Large area of parking space."
Le Meridien Kochi,Apr-21,Manu,The stay was Superb. All the staffs are so friendly and helpful. Rooms and Public area are always sanitized.Loved everything about the room it was really neat and clean. The buffet dinner and breakfast was good. …
Le Meridien Kochi,Jan-21,BIJU TP,Visited Le Meridien convention centre (not hotel) for a marriage function. Good hall with ample car parking space. Well maintained property. Very polite and well behaving staff. Very clean wash rooms. Nice food. Highly recommended (no idea about charge 😊)
Le Meridien Kochi,Feb-21,hasbina abdulla,This is the right place if u r looking for a good stay in town...
Le Meridien Kochi,Feb-21,Meenakshi,I had a really pleasant stay there. Each one of the staff members were really cordial and loving. I enjoyed each and every second I spend there. And food was really tasty and awesome. Don't miss the chance guys.
"Taj Holiday Village Resort and Spa, Goa",Mar-21,Vineet Chugh,Connected beach and Taj hospitality. What else do you need. Had a comfortable and a luxurious stay.
"Taj Holiday Village Resort and Spa, Goa",May-21,vinay jorra,"The place is very very beautiful, we can stay there with world class amenities. It is really amazing also the facilities are really amazing!!!"
"Taj Holiday Village Resort and Spa, Goa",Apr-21,PARAG NIKAM,"Visited in 2017 in Jan, the perfect nature that time, was winter that time and going pleasn't everywhere and we got the deal here. with family. we just entered and get warm wel come with wel-come drink and small gifts. when going to check …"
"Taj Holiday Village Resort and Spa, Goa",Apr-21,Abhay2007 Abhay,"We had buffet lunch here at Caravela restaurant,value for money.best varieties of main course and desserts.great service by staff."
"Taj Holiday Village Resort and Spa, Goa",Feb-21,Divya Saxena,"Absolutely amazing property, whether for couples, friends or large family groups. Spend a minimum of three days here. You don’t need to step out of here at all. Awesome play area for kids, great pool and sunken bar, good restaurants and …"
"The Leela Goa, A luxury Beach and Riverside Resort",Feb-21,Shivam Kandoi,"The best property in Goa ..one should not miss it at all .. we stayed 4 days in the property and it was worth it ..they have all the amenities required.. 80 acres property with private beach , club house , basketball , volleyball, lawn tennis , and many many more"
"The Leela Goa, A luxury Beach and Riverside Resort",Jan-21,Meera Bagot,I went for my Friends birthday. From Delhi to Goa. They send their pickup from the airport to their place. The property is located in South Goa and as its spread faraway you can't get out from it I mean it's difficult to reach back at …
"The Leela Goa, A luxury Beach and Riverside Resort",Mar-21,Dibyajyoti Oja,"We had a wonderful honeymoon at the Leela Goa. The rooms were clean, comfortable and well maintained. Every staff member we encountered were kind, welcoming and very friendly. Lots of activities and restaurants located within the property. …"
"The Leela Goa, A luxury Beach and Riverside Resort",Feb-21,Ritvik Bajaj,It was a very wholesome & luxurious experience indeed. We were 10 people (family) with 3 different rooms (including a villa); we also had a 2 month old infant with us. The staff was very courteous and prompt. The villa came with a personal …
"The Leela Goa, A luxury Beach and Riverside Resort",Feb-21,Sunandha Shegkar,"We had a very nice stay.everything was perfect.the room,food, and the ambience all were great.even the staff were very nice.i just cannot forget one incident which made me feel so nice of them.i developed a toothache all of a sudden and …"
Grand Hyatt Goa,Mar-21,Aakriti Bansal,"We were recommended this property by a friend. Upon reaching there, we were not disappointed. The staff was quite courteous and the service was excellent. The hotel has a private beach and lots of activities. Also there's a beautiful chapel …"
Grand Hyatt Goa,Mar-21,Chiraag,One of the best places I've stayed at till date. This place was super luxurious and everything that they have advertised for.
Grand Hyatt Goa,Feb-21,Venus Patel,Very nice resort with great view to beach and connectivity to main road. The staff is really pleasant and polite. Nice buffet breakfast and dinner and overall ambience of the place.
Grand Hyatt Goa,Feb-21,Nitin Mukesh,"Grand Hyatt as the name suggests it is Grand and beautiful as well. It is a wonderful place to go for. If a person has to chill inside a hotel with all amenities then this is the hotel. They have everything in fact it had sailing as well, …"
Grand Hyatt Goa,Apr-21,Arjun Khanna,The ambience is par excellence. The rooms are luxurious and different ... Very comfortable and service is top class. The food and drinks are awesome too
Trident Hotel Gurgaon ,Jun-21,Sanket,The food and service is really great. Very kind staff and very great environment. Monu & Nitin Thakur provides us with great service and food. Covid protocols are taken seriously. Social distancing is also present.
Trident Hotel Gurgaon ,Jun-21,Romil Sharma,"Stayed at Trident Gurgaon with family. The experience was simply overwhelming. From the amazing ambiance to the excellent food, everything is beyond expectations. The architecture gave us a sense of being in a resort, we felt away from the busy city even though we were right in the heart of Gurgaon. Another highlight was the service and warmth of the staff. This is an aspect where no Oberoi-Trident hotel can go wrong. Also, safety and hygiene are extremely important during these covid days and Trident certainly scores full marks for that. Every step you'll find cleanliness, hand sanitizers at every corner and staff maintained social distancing while wearing masks and gloves."
Trident Hotel Gurgaon ,Jun-21, Arnavaz M,"After staying at any Trident hotel you truly realise the meaning of 'service' and 'warmth'. This is what The Oberoi Group is best at. Each staff member pampers you like you would never expect. Also would like to mention that we felt extremely comfortable and safe. The staff was wearing masks and gloves at all times also they made appropriate social distancing while connecting with us. Housekeeping department specifically uplifted the standards this time. we were given spick and span rooms, team members noticed that we were travelling with a laptop and gave us a laptop cleaning kit without us even asking. They also arranged supremely delicious chocolate brownies for us. Everything....was perfect...Ambience, Service, Rooms, Food,etc...there are a few staff members whose efforts can't go unrecognized...Deepa, Tarun, Himanshu. Keep it up Trident, Gurgaon"
Trident Hotel Gurgaon ,Apr-21,Soumya Ghosh,Just came back from a weekend stay at Trident. Check in was smooth and early...hotel staff were following all covid protocols...sanitizers are placed at all points. Indira from housekeeping in fact offered to resanitize the floors again as I have small kids.
Trident Hotel Gurgaon ,Feb-21,Kashish S.,"Good ambience. Especially the food, it was mouth watering and delicious far beyond expectations. Staff was really nice and well coordinated. Very hygienic and all the rules and regulations of Covid were followed. Must visit."
Grand Hyatt Goa (Bambolim),Jun-21,Mudhit G,"“Stayed at the Hotel first time after the Pandemic. It was an excellent experience. The Hotel is taking all the Covid protection. Even though all the restaurants are closed due to the Lockdown in Goa, they made sure I got the best of food variety via room service. Excellent food. Must thank Jefin who went out of the way to make my stay very comfortable. Also Elvis who made sure I got perfect F&B service.”"
Grand Hyatt Goa (Bambolim),Mar-21,Leonine,"“We had a lovely time during the Holi break with our children and parents. The hotel took adequate precautions due to COVID in spite of being nearly full. Also, our special dietary requirements were well taken care of and we had some lovely meals in the hotel.”"
Grand Hyatt Goa (Bambolim),Mar-21,Kunal Kathrani,"“Grand Hyatt Goa is one of the best and safest places to take a break during Covid Times. The best thing about this property is its location, in center of North and South Goa. We had meals in all the restaurants and it was outstanding. The service and hospitality is as per international standards. Ms. Steffi at the front Desk is a GEM of this organization. She made sure we had a wonderful holiday, thank you Steffi for your Kind Effort. Just don't think twice, this is one of the safest holidays one can have during the pandemic.”"
"Le Meridien, Goa (Calangute)",Mar-21,Renu,The housekeeping service is perfect that has been given by Ahatsham and shiv they are really helpful and so cheerful and they are just perfect in their work and I am really thank full for the great housekeeping service. The food is very tasty as well the pool is perfectly maintained and it’s so clean as well. The rooms and the whole property is so clean specially during this COVID time. A special thanks has to go to the housekeeping team. Cheers. I love to stay over here again and this is my 7th trip of Goa and thanks once again for my comfortable stay Mr Shiv and Mr Ahatsham.
"Le Meridien, Goa (Calangute)",Mar-21,Surjit,"I really like this property , the service is amazing Staff is so courteous and I really appreciate the services given by housekeeping Mr Rayees and Rajat Madaan room is cleaning was done by so nicely n they were following all the covid protocols Thank you so much for an amazing services given by all the le meridien staff"
"Le Meridien, Goa (Calangute)",Mar-21,Suresh A,The isl bubble is my second home and i M loving my stay and the staff qho is working for my comfort is really hardworking and they are following each and every protocol of covid 19 and i am really happy to see that. I will recommend this hotel name to my friends and family for sure. The staff who are working are of mainly two departments the housekeeping and engineering
"Le Meridien, Goa (Calangute)",Feb-21,Kaushal,"The stay was amazing the breakfast was superb special thanks to Rumni to guide us locally and do our reservations :) Sanitisation was superb and spot on, all staff were wearing mask and gloves all the time."
"Le Meridien, Goa (Calangute)",Nov-20,Dheeraj Batish,The rooms and hotel are decent. I had a long stay in the Hotel and more over in Bio Bubble because of Covid 19. The whole staff is helpful and always their for you to help you in any manner. from kitchen staff to housekeeping staff everyone is fully committed to help you.
JW Marriott Hotel Pune,May-21,Anuj AJ,Stay was excellent. Rooms were clean and well sanitized. Shubham and Dharma made sure that the rooms were upto the mark with respect to hygiene. We stayed in Soho suite. The suite was really relaxing and had a good hill view. Gallery was well lit and with comfortable seating.
JW Marriott Hotel Pune,May-21,Adipatil,Had great stay.. the hotel staff was very friendly n specially Shubham Yadav and dharma from the housekeeping were very helpful throughout the stay.. they took full care of the Covid situation and all the precautions were taken . Proper sanitisation was done and everything we needed was just delivered to our room within minutes. Thanks to all the staff.
